Name des Begünstigten,Bezeichnung des Vorhabens,Jahr Bewilligung ,Jahr Projektende,Gewährte Beträge,bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Bürgerhaus Gemeinschaftszentrum Obervieland,Beratungspier,2012,2013,,""9.182,78""",,,,,
"Bürgerhaus Gemeinschaftszentrum Obervieland,Berufsorientierendes Beratungsangebot im BGO,2011,2011,,""9.133,59""",,,,,
"Bürgerhaus Gemeinschaftszentrum Obervieland,Beratungspier für Berufseinsteiger,2013,2014,""10.000,00"",",,,,,
"12Rounds GmbH,Self Defence im Jugendhaus,2010,2011,,""750,21""",,,,,
"Abakus-Naturkost,Ausbildungsverhältnis,2013,2014,""4.000,00"",",,,,,
"Abakus-Naturkost,Ausbildungsverhältnis,2012,2013,,""4.000,00""",,,,,
"AfJ e.V - Kinder- und Jugendhilfe Bremen,Fit für die Berufsausbildung,2008,2009,,""8.328,86""",,,,,
"AfJ e.V - Kinder- und Jugendhilfe Bremen,Mädchen erkunden Medienberufe,2008,2009,,""2.224,80""",,,,,
"AGAB - Aktionsgemeinschaft arbeitsloser
Bürgerinnen und Bürger e.V.,""Offene Beratungsstelle für Erwerbslose, Geringverdiener",,,,,
"und von Erwerbslosigkeit Bedrohte"",2013,2014,""543.900,00"",",,,,,
"AGAB - Aktionsgemeinschaft arbeitsloser
Bürgerinnen und Bürger e.V.,""Offene Beratung für Erwerbslose, Geringverdiener und von",,,,,
"Erwerbslosigkeit Bedrohte"",2008,2010,""906.768,84"",",,,,,
"AGAB - Aktionsgemeinschaft arbeitsloser
Bürgerinnen und Bürger e.V.,""Offene Beratungsstelle für Erwerbslose, Geringverdiener",,,,,
"und von Erwerbslosigkeit Berohte 2011 und 2012"",2011,2012,""700.827,86"",",,,,,
"Ahrens Hoch- und Tiefbau GmbH,Ausbildungsverhältnis,2012,2013,,""5.000,00""",,,,,
"Akademie des Handwerks Unterweser e.V.,Ausbildungsverhältnis,2013,2014,""4.000,00"",",,,,,
"Akademie Überlingen- N. Glasmeyer GmbH,""Injobs-ESF Akademie Überlingen- N. Glasmeyer GmbH",,,,,
"U65T, geförderte Beschäftigung"",2011,2011,""232.848,00"",",,,,,
"Aktion Kultur u. Freizeit für Huchting u. Grolland e.V.,""Persönliche Geschichten von Huchtinger Jugendlichen zu",,,,,
"den Menschenrechten"",2009,2010,,""9.900,00""",,,,,
"Aktion Kultur u. Freizeit für Huchting u. Grolland e.V.,""Ich kann was dafür tun, dass unsere Zukunft gerechter",,,,,
"wird!"",2012,2013,""7.200,00"",",,,,,
"Aktion Rückenwind für Leher Kinder e. V.,Mitmachbaustelle,2011,2011,,""9.352,18""",,,,,
"Aktion Rückenwind für Leher Kinder e. V.,""Langzeitarbeitslose organisieren Mitmachbaustellen für",,,,,
"Kinder"",2012,2013,""9.983,34"",",,,,,
"Ambulante Drogenhilfe gGmbH,""Info- und Psychoedukationsgruppe Kokain und",,,,,
"Amphetamine"",2011,2011,,""2.548,05""",,,,,
"Ambulante Drogenhilfe gGmbH,""Cannabis-Projekt im jobcenter für junge Arbeitlose bis 26",,,,,
"Jahre"",2013,2014,""7.392,96"",",,,,,
"Ambulante Drogenhilfe gGmbH,""Gesundheitsbeförderung im Offenen Bereich des DHZ-",,,,,
"Nord"",2011,2012,,""9.965,31""",,,,,
"Anatoli Aman,Bremerhavener Gesichter bei der Arbeit,2013,2013,""10.000,00"",",,,,,
"Anatoli Aman,Leher gestalten Kindergärten,2008,2009,,""9.841,52""",,,,,
"Anatoli Aman,Bremerhaven malen ist ein Experiment,2011,2012,,""10.000,00""",,,,,
"Anatoli Aman,Leher malen im Zoo,2010,2011,,""9.903,87""",,,,,
"Andreas Carsch,Ausbildungsverhältnis,2012,2013,""4.000,00"",",,,,,
"Anja Meinl
Frisiersalon,Ausbildungsverhältnis,2012,2013,,""1.200,00""",,,,,
"Annelen de Mora,""Internetauftritt, Marketing und Büroorganisation"",2013,2014,""10.000,00"",",,,,,
"Annelen de Mora,Neue Perspektiven für Jugendliche ohne Perspektive,2013,2014,""10.000,00"",",,,,,
"Arbeit und Lernzentrum e.V.,Vier B,2012,2013,""19.982,45"",",,,,,
"Arbeit und Lernzentrum e.V.,""Bremen produktiv - integrativ Arbeit und Lernzentrum /",,,,,
"Angepackt und losgelegt"",2008,2010,,""703.134,73""",,,,,
"Arbeit und Lernzentrum e.V.,""Bremen produktiv - integrativ Arbeit und Lernzentrum /",,,,,
Beschäftigung, Integration, Stadtentwicklung für Bremen-,,,
"Nord (BIS Bremen-Nord)"",2008,2010,""2.152.378,87"",",,,,,
"Arbeit und Lernzentrum e.V.,""Bremen produktiv - integrativ Arbeit und Lernzentrum /",,,,,
"Soziale Integration (integrativ)"",2008,2010,""218.706,07"",",,,,,
"Arbeit und Lernzentrum e.V.,""Injobs-ESF alz U65SI11, geförderte Beschäftigung"",2011,2011,""105.840,00"",",,,,,
"Arbeit und Lernzentrum e.V.,""MOP. Arbeit und Lernzentrum e. V., """"Bremer Konsens im",,,,,
"Handwerk""""", Modellprojekt geförderte Beschäftigung ab,,,,
"08/2012"",2012,2014,""119.950,22"",",,,,,
"Arbeit und Lernzentrum e.V.,""Injobs-ESF alz U65R11, geförderte Beschäftigung"",2011,2011,""134.064,00"",",,,,,
"Arbeit und Lernzentrum e.V.,AlsoNord,2013,2014,""98.000,00"",",,,,,
"Arbeit und Lernzentrum e.V.,MiLo alz FAV,2012,2013,""8.737,70"",",,,,,
"Arbeit und Lernzentrum e.V.,""SVB.Z. Arbeit und Lernzentrum e. V., LaST """"Lager,",,,,,
"Spedition, Transport"""", geförderte Beschäftigung"",2011,2011,,""194.799,32""",,,,,
"Arbeit und Lernzentrum e.V.,""SVB.V. Arbeit und Lernzentrum e. V., LiSa """"Lüssum - im",,,,,
"Stadtteil aktiv"""", geförderte Beschäftigung"",2011,2011,""305.592,00"",",,,,,
"Arbeit und Lernzentrum e.V.,""SVB.O. Arbeit und Lernzentrum e. V., """"Stadt-Spiel"""",",,,,,
"geförderte Beschäftigung"",2011,2012,,""332.452,20""",,,,,
"Arbeit und Lernzentrum e.V.,""MAE. Arbeit und Lernzentrum e. V.,  T-Recx """"Textiles",,,,,
"Recycling"""", geförderte Beschäftigung"",2011,2013,""350.880,00"",",,,,,
"Arbeit und Lernzentrum e.V.,Dienstleistungszertifikat in Lüssum,2009,2010,,""5.903,62""",,,,,
"Arbeit und Lernzentrum e.V.,""Injobs-ESF MAE.U65R. Arbeit und Lernzentrum e. V.,",,,,,
"Regionales Netzwerk Nord"""", geförderte Beschäftigung ab",,,,,
"26.03.2012"",2012,2012,""88.002,00"",",,,,,
"Arbeit und Lernzentrum e.V.,AlsoNord,2011,2012,""133.039,02"",",,,,,
"Arbeit und Lernzentrum e.V.,Arbeitslosen- und Sozialberatung Nord,2008,2010,,""237.394,85""",,,,,
"Arbeit und Lernzentrum e.V.,""MAE. Arbeit und Lernzentrum e. V., """"T-Recx""""", geförderte,,,,
"Beschäftigung ab 02/2013"",2013,2014,""102.339,00"",",,,,,
"Arbeit und Lernzentrum e.V.,""MAE.U65R. Arbeit und Lernzentrum e. V., """"Regionales",,,,,
"Netzwerk - Netz Nord""""", geförderte Beschäftigung ab,,,,
"02/2013"",2013,2014,""487.458,00"",",,,,,
"Arbeiterwohlfahrt Kreisverband Bremerhaven e.V.,SO KO Grünhöfe,2011,2012,,""2.530,00""",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,ZIB- Frau und Beruf,2012,2014,""500.572,12"",",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Projektbüro Tourismus,2008,2010,,""491.087,10""",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,""""""Frauen im Aufwind"""" Qualifizierungsprojekt für Frauen 50+",,,,,
"ohne Leistungsbezug"",2008,2010,""323.185,68"",",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,""MAE, Fehlbedarf, Perspektive Kita, AFZ"",2011,2014,""704.014,01"",",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,afz Beratung,2011,2013,""1.807.689,92"",",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,""Beratung und Stadtteilentwicklung """"Lehe-Grünhöfe-",,,,,
"Leherheide"""""",2008,2010,,""1.817.517,64""",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Kita: Arbeit - Bildung - Perspektiven für Beschäftigte,2008,2010,""520.063,85"",",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Kita: Arbeit - Bildung - Perspektiven für Arbeitslose,2008,2010,""1.156.339,39"",",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Regiestelle TZ-Umschulung,2012,2013,""84.055,38"",",,,,,
"Arbeitsförderungs-Zentrum im Lande Bremen GmbH,""Frauen im Aufwind - Qualifizierungsprojekt für Frauen ohne",,,,,
"Leistungsbezug"",2011,2013,""406.384,59"",",,,,,
"ArBiS Bremen gGmbH,""Bremen produktiv - integrativ ArBiS Bremen / Soziale und",,,,,
"Arbeitsintegration (integrativ)"",2008,2010,,""239.182,48""",,,,,
"ArBiS Bremen gGmbH,""MAE. ArBiS Bremen gGmbH, """"Soziale und",,,,,
Arbeitsintegration für Menschen mit persönlichen,,,,,
"Einschränkungen und Leistungshemmnissen"""", geförderte"",2011,2013,""601.300,00"",",,,,,
"AS Abrechnungsstelle
für Heil-, Hilfs-, u. Pflegeberufe GmbH,Ausbildungsverhältnis,2013,2014,""5.000,00"",",,,,,
"AUCOOP
Handwerks- und Ausbildungskooperative Bremen eV.,""Injobs-ESF Aucoop/Lagerhaus U65R11, geförderte",,,,,
"Beschäftigung"",2011,2011,,""204.053,69""",,,,,
"AUCOOP
Handwerks- und Ausbildungskooperative Bremen eV.,""Injobs-ESF MAE.U65R. AUCOOP Bremen e. V.,",,,,,
"Regionales Netzwerk Mitte"""", geförderte Beschäftigung ab",,,,,
"26.03.2012"",2012,2012,""138.521,67"",",,,,,
"AUCOOP
Handwerks- und Ausbildungskooperative Bremen eV.,""MAE.U65R. AUCOOP e. V., """"Regionales Netzwerk - Netz",,,,,
"Mitte"""""," geförderte Beschäftigung ab 02/2013"",2013,2014,""451.350,00"",",,,,
"AUCOOP
Handwerks- und Ausbildungskooperative Bremen eV.,Ausbildungsverhältnis,2012,2013,""5.000,00"",",,,,,
"August Fiedler,Ausbildungsverhältnis,2012,2013,,""4.000,00""",,,,,
"August Fiedler,Ausbildungsverhältnis,2012,2013,,""4.000,00""",,,,,
"Aus- und Fortbildungszentrum der FHB (AFZ),Ausbildungsverhältnis,2012,2013,""5.000,00"",",,,,,
"Ausbildungspool Bremerhaven e.V.,B-Ausbildungspool (Schaffung von Ausbildungsplätzen),2008,2012,""740.266,47"",",,,,,
"Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,""3.000,00"",",,,,,
"Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,""3.000,00"",",,,,,
"Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,""3.000,00"",",,,,,
"Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,""3.000,00"",",,,,,
"Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,""3.000,00"",",,,,,
"Ausbildungsverbund Bremerhaven gGmbH,""B-Ausbildung und Qualifizierung im Verbund - Zukunft im",,,,,
Metallgewerbe," AuQuaM"",2008,2010,,""328.225,36""",,,,
"Aussiedler-Freizeit-Treff e. V. Blockdiek,""Berufliche Motivation für Menschen mit",,,,,
"Migrationshintergrund"",2010,2010,,""4.000,00""",,,,,
"Aussiedler-Freizeit-Treff e. V. Blockdiek,""Unterstützung bei der Suche nach Arbeitsplätzen für",,,,,
"langzeitarbeitslose Erwachsene und Jugendliche"",2012,2013,,""4.085,00""",,,,,
"Aussiedler-Freizeit-Treff e. V. Blockdiek,""Selbstbewußtsein und Chansenverbesserung für",,,,,
"Berufseinstieg"",2009,2009,,""4.844,00""",,,,,
"Aussiedler-Freizeit-Treff e. V. Blockdiek,Suche nach Praktikumsplätzen für Fachabiturienten,2011,2012,,""4.000,00""",,,,,
"Auto-Center Horn GmbH,Ausbildungsförderung,2013,2014,""4.000,00"",",,,,,
"Autohaus H. Hinte GmbH,Ausbildungsverhältnis,2013,2014,""4.000,00"",",,,,,
"Autoteilevertrieb Heise u. Klatte GmbH,Ausbildungsverhältnis,2013,2014,""5.000,00"",",,,,,
"AWO - Kreisverband Bremen e. V.,pro KiTa II,2008,2008,,""55.186,36""",,,,,
"AWO - Kreisverband Bremen e. V.,pro KiTa II,2008,2008,,""119.045,65""",,,,,
"AWO - Kreisverband Bremen e. V.,Bewerbungstraining und Berufsvorbereitung für Jugendliche,2008,2009,,""3.017,46""",,,,,
"AWO - Kreisverband Bremen e. V.,""Hausaufgabenhilfe für benachteiligte Schüler und",,,,,
"Auszubildende mit Migrationshintergrund."",2010,2011,,""3.319,45""",,,,,
"AWO - Kreisverband Bremen e. V.,B-KoMPart,2008,2010,""209.454,46"",",,,,,
"AWO - Kreisverband Bremen e. V.,""HIN - """"Helfer/in in der Nachbarschaft"""" Integrationshilfe",,,,,
"durch berufliche Qualifizierung"",2009,2009,,""9.063,15""",,,,,
"AWO - Kreisverband Bremen e. V.,""BuS - Berufsorientierung und Sprachkompetenzerweiterung",,,,,
"für Migranten"",2008,2009,,""9.748,83""",,,,,
"AWO Pflegedienste GmbH,B-Altenpflegeausbildung,2008,2011,""911.364,40"",",,,,,
"AWO Sozialdienste GmbH,EMMI,2008,2010,,""232.496,74""",,,,,
"AWO Sozialdienste GmbH,HIPPY für Lehe,2010,2011,,""8.057,83""",,,,,
"AWO Sozialdienste GmbH,MiLo AWO Bhv FAV,2013,2013,""2.288,96"",",,,,,
"AWO Sozialdienste GmbH,QUIS,2008,2010,,""1.198.690,04""",,,,,
"AWO Sozialdienste GmbH,KAJE - Kwallie aktiviert junge Erwerbslose,2008,2010,,""435.982,12""",,,,,
"AWO Sozialdienste GmbH,LOS mobil,2008,2009,,""7.602,79""",,,,,
"AWO Sozialdienste GmbH,""MAE. AWO Sozialdienste GmbH Bremerhaven, """"Lene"""",",,,,,
"geförderte Beschäftigung"",2011,2012,,""215.892,86""",,,,,
"AWO Sozialdienste GmbH,MAE Emmi,2011,2012,""103.197,00"",",,,,,
"AWO Sozialdienste GmbH,""MAE. AWO Sozialdienste GmbH Bremerhaven, """"Karo"""",",,,,,
"geförderte Beschäftigung"",2011,2012,,""176.721,20""",,,,,
"AWO Sozialdienste GmbH,Zukunftswerkstatt,2011,2012,,""8.758,81""",,,,,
"AWO Sozialdienste GmbH,SILA=STÄRKE,2011,2012,,""3.821,99""",,,,,
"AWO Sozialdienste GmbH,Die Nadel rennt,2012,2013,,""7.272,97""",,,,,
"AWO Sozialdienste GmbH,Chor ohne Grenzen,2012,2013,,""8.311,40""",,,,,
"AWO Sozialdienste GmbH,""FOR. MAE. AWO Sozialdienste GmbH Bremerhaven,",,,,,
"Gesamtprojekt PaRoLe"""", geförderte Beschäftigung ab",,,,,
"04/2012"",2012,2014,""539.165,00"",",,,,,
"AWO Sozialdienste GmbH,HIPPY für Familien in Leherheide,2013,2013,""9.945,20"",",,,,,
"AWO Soziale Dienste gemeinnützige GmbH,""Eigenständiges, offenes Qualifizierungsangebot im",,,,,
"Jugendcafé Hafen Höft"",2013,2014,""5.278,68"",",,,,,
"AWO Soziale Dienste gemeinnützige GmbH,Übergangslotsen,2013,2014,""8.831,00"",",,,,,
"AWO Soziale Dienste gemeinnützige GmbH,Die Jugend mit Zukunft,2012,2013,""4.079,50"",",,,,,
"AWO Soziale Dienste gemeinnützige GmbH,""Injobs-ESF AWO U65T11, geförderte Beschäftigung"",2011,2011,""128.982,00"",",,,,,
"AWO Soziale Dienste gemeinnützige GmbH,""Hausaufgabenhilfe für Schüler und Azubis mit",,,,,
"Migrationshintergrund"",2011,2012,""5.155,92"",",,,,,
"Bäckerei Wattenberg,Ausbildungsverhältnis,2012,2013,,""3.000,00""",,,,,
"Bäckerei Wilfried Schnaare,Ausbildungsverhältnis,2013,2014,""3.000,00"",",,,,,
"Bahri Günay,Integration und Alphabetisierungstraining,2013,2013,""7.000,00"",",,,,,
"Bahri Günay,Alphabetisierungstraining für Eltern,2012,2012,,""7.000,00""",,,,,
"Barbara Giehler,Medienkompetenz sinnvoll und effektiv nutzen,2008,2009,,""6.622,84""",,,,,
"Behrens Baugeschäft GmbH,Ausbildungsverhältnis,2012,2013,,""5.000,00""",,,,,
"Berufliche Bildung Bremerhaven,""Verbundausbildung """"WIND"""""",2013,2014,""519.109,56"",",,,,,
"Berufliche Bildung Bremerhaven,""B-Ausbildung zum Elektroniker/-in für Betriebstechnik mit",,,,,
"Spezifikation für den Bereich Windenergie"",2008,2013,""1.837.887,32"",",,,,,
"Berufliche Bildung Bremerhaven,Känguru,2008,2012,""967.795,36"",",,,,,
