"Begünstigte/r
beneficiary","Bezeichnung des Vorhabens
name of the operation",öffentliche Beteiligung(EU+nationale Kofinanzierung),Status - G genehmigt - A ausbezahlt
Adler Pharma Produktion und Vertrieb GmbH und Adler Holding GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"625.600,00",A
Aigner Karl,Investition - Erneuerbare Energien,"46.442,00",A
Alba Tooling & Engineering GmbH + Naue Industries GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"272.943,04",A
Alois Aberger KG,Investition - Erneuerbare Energien,"243.393,00",A
AlpinaTec Technical Products GmbH,Innovationsdienstleistung für Unternehmen,"47.467,76",A
"ARGE ""ZIEGEL BAU ZUKUNFT""",Projekt im Bereich Technologietransfer / KMU-Kooperation,"29.439,54",A
ARGE Bauteilaktivierung,Projekt im Bereich Technologietransfer / KMU-Kooperation,"68.927,94",A
ARGE Blockhausbau,Projekt im Bereich Technologietransfer / KMU-Kooperation,"60.188,38",A
ARGE Salzburger Heizungshafner,Projekt im Bereich Technologietransfer / KMU-Kooperation,"5.613,18",A
ARGE Salzburger Heizungshafner,Projekt im Bereich Technologietransfer / KMU-Kooperation,"33.004,08",A
ARGE Starkholz Salzburg,Projekt im Bereich Technologietransfer / KMU-Kooperation,"13.504,24",A
ARWÖ-Plast Kunststofferzeugungs- und Vertriebsgesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"4.200,00",A
Atomic Austria GmbH,Investition zur Verbesserung der Energieeffizienz,"77.044,00",A
AUER - Die Bausoftware GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"97.112,70",A
AUER - Die Bausoftware GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"129.400,00",A
AUER - Die Baustoffware GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"156.699,00",A
AUER - Die Baustoffware GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"185.936,65",A
"Bachmaier Martin, Panoramahotel Burgeck",Unternehmensinvestition mit Innovationsbezug,"61.896,89",A
Berger Feinste Confiserie GmbH,Unternehmensinvestition mit Innovationsbezug,"207.946,63",A
Berger Feinste Confiserie GmbH,Unternehmensinvestition mit Innovationsbezug,"75.000,00",A
Bilton International GmbH,Innovationsdienstleistung für Unternehmen,"45.000,00",A
BILTON International GmbH,Unternehmensinvestition mit Innovationsbezug,"185.086,80",A
Biogena Naturprodukte GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"46.715,74",A
Blizzard Sport GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"113.966,00",A
Blizzard Sport GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"468.413,00",A
Blizzard Sport GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"536.464,00",A
BPH Entwicklungs GmbH,Projekt im Bereich Standortentwicklung,"44.820,10",A
"Bund, vertreten durch BKA IV/4","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","255.911,92",A
Commend International GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"200.853,05",A
Ctrixs International GmbH,Innovationsdienstleistung für Unternehmen,"2.600,00",A
