"Projektitel / Operation name";"Startdato / Operation start date";"Slutdato / Operation end date";"Prioritetsakse / Priority axis";"Budget / Budget";"EU-medfinansiering / Union co-financing";"EU-medfinansieringssats / Union co-financing rate";"Projektbeskrivelse";"Fond / Fund";"Region / Region";"Land / Country";"Kontraktansvarlig partner / Beneficiary name";"Vejnavn / Street name";"Postnr / Operation postcode";"Bynavn / City name";"Koordinat east / Coordinates east";"Koordinat north / Coordinates north";"Kontaktperson / Contacts";"Partere / Project partners"
"Fremtidens Industrielle Forretningsmodeller II";"15.09.2014";"30.06.2016";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"5.343.280";"1.682.918";"31%";"Fremtidens industrielle forretningsmodeller II øger antallet af vækstvirksomheder Projektets overordnede formål er, at kvalificere og øge antallet af vækstvirksomheder indenfor fremstillingsindustrien i Region Midtjylland. Det indbefatter strategisk sparring og kompetenceudvikling med det formål, at styrke virksomhedernes produktivitet og konkurrenceevne på det globale marked. Indsatsen skal sikre, at produktionsvirksomhederne øger deres evne til langsigtet og strategisk forretningsudvikling. Projektets forventede effekter er; at øge antallet af vækstvirksomheder, at øge virksomhedernes omsætning, produktivitet og beskæftigelse og at øge antallet af virksomheder, som samarbejder med private rådgivere. Projektets hovedaktiviteter er målrettet regionens virksomheder indenfor fremstillingsindustrien: Vækstkortlægning som gennemføres med henblik på at kortlægge virksomheden udviklingsbehov, vækstpotentialer og barrierer for vækst. Virksomhedspitch, som sikrer at der sættes fokus på virksomhedens væsentligste udfordring, og at de får afklaret deres vækstpotentialer fra flere faglige perspektiver. Virksomheden bliver matchet med den rigtige private konsulent. Virksomheden præsenterer deres egne vækstambitioner og udfordringer over for et professionelt og uvildigt panel. Væksttjek, som identificerer virksomhedens centrale udfordringer og prioriterer virksomhedens fremadrettede indsats. Som led i væksttjekket udvikles der referater og handleplaner (vækstplaner), som involverer en strategisk prioritering af fremtidige initiativer for at kunne forblive konkurrencedygtig samt vokse og udvikle sig de næste 3-5 år. Vækstløft tilbydes for at sikre vækstplanens implementering og eventuelt yderligere faglig udvikling. I vækstløftet gives der over en periode konkret rådgivning til, hvordan virksomheden kan realisere sit vækstpotentiale. Der tilbydes Vækstgrupper for at understøtte implementeringen af vækstplanen. Dertil kommer, at vækstgrupperne også vil tilbyde kompetenceudvikling indenfor et fagligt relevant område samt introduktion til ledelsesværktøjer. Projektet gennemføres af et konsortium bestående af VIA University College, Væksthus Midtjylland, Aarhus Universitet, Innovationsnetværket for Produktion og Fremstillingsindustrien, en del af Dansk Industri. VIA University College er lead-partner og operatør på opgaven. Projektet bygger videre og udvikle på det grundlag, som blev skabt i projektet fra 2014 Fremtidens Industrielle Forretningsmodeller.
";"R";"Midtjylland";"Denmark";"Professionshøjskolen VIA University College";"Chr M Østergaards Vej 4";"8700";"Horsens";"555445.79";"6192133.79";"Jonna Pedersen,87554013,jop@via.dk";"Dansk Industri.
Væksthus Midtjylland.
CenSec.
Aarhus Universitet"
"InkubatorMidt";"21.10.2014";"01.09.2016";"1 Iværksætteri og jobskabelse.
Iværksætteri";"8.850.000";"4.425.000";"50%";"Danmark har for få vækstiværksættere, dvs. virksomheder, der inden for de første to år har mindst 10 ansatte, og som i de efterfølgende tre år har en årlig gennemsnitlig vækst på mindst 20 pct. Ifølge Region Midtjylland udvikler mindre end ½ procent af nye danske virksomheder sig til vækstvirksomheder. 
Et konsortium bestående af 12 etablerede og spirende midtjyske udviklings- og forskerparker er gået sammen i et midtjysk inkubatorprogram om at accelerere udvikling og vækst i inkubatorvirksomheder via gennemførelse af et udvidet vejledningsforløb med særlig fokus på tilknytning af eksterne ressourcer i form af kontakter og kapital. 
Målet med programmet er at styrke mulighederne for etablering af nye virksomheder og for kommercialisering af viden, at øge antallet af vækstvirksomheder, at øge væksten i disse virksomheder samt at øge overlevelsesraten for inkubatorvirksomheder.
Effekterne af programmet forventes at være: 150 virksomheder der har gennemført et vejlednings-, udviklings- eller mentorforløb. 120 virksomheder der har forbedret deres iværksætterkompetencer 20 nye virksomheder er opstartet 150 overlevende virksomheder efter 2 år  14 virksomheder ud af de 20 nystartede er selvstændige efter 6 måneder  Inkubator-virksomhederne opnår bedre resultater end gennemsnittet på overlevelsesrate, omsætning, værditilvækst og beskæftigelse
Konsortiet  løser operatørrollen med udgangspunkt i en fælles ramme som operationelt tilpasses de enkelte inkubatorers set up og virksomhedernes behov.  Antagelsen er, at udvikling og implementering af en fælles struktur for tilgangen til - og dialog med potentielle vækstvirksomheder styrker muligheden for en optimeret indsats. Bevægelsesfrihed i forhold til særegneforhold i forhold til den enkelte virksomhed/branche maksimere udbyttet.
";"S";"Midtjylland";"Denmark";"Agro Business Park A/S";"Niels Pedersens Alle 2";"8830";"Tjele";"535628.77";"6260343.28";"Jacob Mogensen,89 99 25 12,jm@agropark.dk";"Den Erhvervsdrivende Fond Businesspark Struer.
Ejerforeningen for Vitus Bering Innovation Park.
Fonden Arsenalet.
EcoPark Århus.
Business Park Randers ApS.
Erhvervsrådet Herning og Ikast-Brande.
ViborgEgnens Erhvervsråd.
Erhverv Silkeborg.
Foreningen Ringkøbing Fjord Erhvervsråd.
INCUBA A/S.
Dansk Produktions Univers A/S"
"Program for virksomhedsudvikling 1 2015 ";"16.09.2014";"31.08.2016";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"24.838.410";"5.930.024";"24%";"Formålet med virksomhedsudviklingsprogrammet er at skabe flere midtjyske virksomheder, der realiserer et internationalt vækstpotentiale og støtter virksomhederne i at:- Udvikle klare markeds- og vækststrategier- Opbygge internationale netværk- Accelerere international vækst og konkurrenceevne- Øge eksporten, indtjeningen og beskæftigelsen
Det overordnede rationale er, at virksomheder præsterer bedre, når der opsættes klare mål for udvikling og vækst via en fokuseret forretningsstrategi, og når der samtidig er mulighed for at trække på relevante eksterne videnressourcer. Ved målrettet tilførsel af inspiration og viden kan der skabes opmærksomhed/bevidsthed om hidtil uerkendte vækstpotentialer. Formålet med det midtjyske virksomhedsudviklingsprogram er således at forbedre den regionale konkurrenceevne ved- at øge antallet af vækstvirksomheder- at øge antallet af innovative små og mellemstore virksomheder- at målgruppen oplever erhvervsfremmesystemet som sammenhængende og kompetent
Dette konkretiseres via aktivitetsmålene, således at der i 2015 gennemføres- 25 kollektive træningsforløb- basismodul med 270 deltagervirksomheder- 12 kollektive træningsforløb, træningscamps med 120 deltagervirksomheder- 65 individuelle rådgivningsforløb- 8 vækstsparringsforløb- 4 vækstgrupper med 24 deltagervirksomheder- 12 strategiske netværk fase 1 med 36 deltagervirksomheder- 9 strategiske netværk fase 2 med 27 deltagervirksomheder
";"R";"Midtjylland";"Denmark";"Væksthus Midtjylland";"Åbogade 15";"8200";"Århus N";"573736.19";"6225873.52";"Anne Kjær Vodder,40681360,akv@vhmidtjylland.dk.
Casper Steenfeldt-Møller,,csm@vhmidtjylland.dk";"Udviklingscenter for Møbler og Træ.
Agro Business Park A/S.
Fonden Plast Center Danmark.
CenSec.
VIFU - Videncenter  for Fødevareudvikling"
"Vækst gennem internationalisering";"01.04.2015";"28.02.2018";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"15.400.000";"7.700.000";"50%";"Mange små og mellemstore virksomheder har vækst på dagsordenen, men er tilbageholdende med at igangsætte vækstaktiviteter. 
Erfaringerne viser, at der er særlige udfordringer, når det internationale arbejde igangsættes. Det er typisk manglende viden om udbuds- og efterspørgselsforhold på et givent marked. Det kan være spørgsmål til prisdannelse og konkurrence, distributionsforhold, offentlig regulering og kulturelle barrierer. Afklaringen af disse forhold er nødvendige for at kunne udvikle og kvalificere samt igangsætte virksomhedens internationale vækstplan.
Væksthuset vil over de kommende 3 år finde 80 virksomheder og tilbyde dem støtte til at udvikle en international vækstplan, som på sigt skal gøre dem til vækstvirksomheder. Virksomhederne findes med udgangspunkt i klyngerne fra den aktuelle strategi og inden for REVUS sektorerne SUND-, GRØN-, KREATIV- og SMART VÆKST. 
Virksomhederne skal have gode forudsætninger og magte internationalisering på et ambitiøst niveau.Virksomhederne tilbydes deltagelse i forløb, der sigter mod at udvikle og kvalificere vækstplaner, som grundlag for at igangsætte internationale vækstinitiativer. 
Tilbuddet til virksomhederne er baseret på en international vækstplan, som sammenholder, mål, aktiviteter og økonomi. Vækstplanen udvikles med særligt fokus på nye og effektive metoder til at hurtig internationalisering fx ved professionel introduktion til et nyt eksportmarked eller skærpet evne til at optimere og skalere.
Der vil være tale om 3 workshops som stepvis sigter mod at udvikle og kvalificere en international vækstplan. De bedste kvalificerede af virksomhederne tilbydes et overbygningsforløb, som styrker den ønskede effekt, nemlig 40 vækstvirksomheder.
Den viden som opnås gennem projektet vil indgå i udvikling af Væksthusets grundlæggende tilbud, og vil blive anvendt i dialog med Eksportrådet om tilpasning af deres ydelser. Væksthuset vil arbejde for, at de virksomheder som drager nytte af projektet, vil stille deres viden til rådighed for nye virksomheder, ved at forpligte sig til at være mentorer.
";"R";"Hovedstaden";"Denmark";"Væksthus Hovedstadsregionen";"Fruebjergvej 3";"2100";"København Ø";"722977.826";"6180109.341";"Niels Boje Lund,41886602,nbl@vhhr.dk";"DEA - Vi fremmer viden"
"Indtag det grønne vækstmarked i Afrika";"25.08.2014";"31.03.2016";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"5.468.994";"2.734.497";"50%";"Indtag det grønne vækstmarked i Afrika.
Projektet har til formål at skabe grøn vækst arbejdspladser for nordjysk erhvervsliv og fremme adgangen til de voksende markeder særligt i Østafrika indenfor vedvarende energi, agri-business samt vand og sanitet. Med udgangspunkt i virksomhedernes specifikke forretningsmæssige situation vil de få adgang til at opbygge samarbejde med NGOer, universiteter, og offentlige myndigheder med det sigte at kunne viderudvikle konkrete vækstplaner, der kan levere efterspurgte løsninger og skabe nye arbejdspladser og vækst herhjemme. 
Målsætningen er at minimum 200 virksomheder får indsigt i markedsmulighederne, at der etableres dialog med 60 virksomheder og at 30 virksomheders vækstpotentiale afdækkes, hvorefter minimum 18 virksomheder får udviklet vækstplaner ved inddragelse af eksterne konsulenter og/ eller deltagelse i kollektive forløb. Den forventede effekt vil være, at 11 virksomheder efterfølgende realiserer vækstmulighederne med 49 nye arbejdspladser og en øget omsætning på minimum 37 mill. kr. inden for 2-5 år.
";"R";"Nordjylland";"Denmark";"Aalborg Kommune";"Boulevarden 13";"9000";"Aalborg";"555773.389";"6322906.477";"Jacob Ravn,27702318,jr@access2innovation.com";""
"AutomationsBoost";"18.09.2015";"28.02.2019";"1 Styrket innovation i SMVer.
Innovation og videndeling";"38.136.184";"7.497.574";"20%";"Projektets formål og forventede effekt er at skabe vækst i Syddanske små - og mellemstore virksomheder ved at adressere emnet automation. Formålet med projektet er at bringe mindst 9 produkter frem til TRL6 eller TRL7 og herved sikre, at koncepter udvikles fra tegnebræt-stadiet og frem til en prototypetest i en teststand (TRL6) eller i et naturligt miljø i en virksomhed (TRL7) med henblik på kommercialisering af en generisk løsning.Ved at bringe 9 generiske, nye, skalerbare produkter eller løsninger frem til dette stadie, kan produkterne efterfølgende kommercialiseres og skaleres. Det betyder, at produkterne kan individualiseres og sælges til mange kunder i deres eksisterende form, og at en skalering af produktionen er mulig uden videre. Det giver et stort potentiale for vækst.Som konsekvens heraf er målet at skabe mindst 200 mio. kr. i ny årlig omsætning, 80 mio. kr. i mér-eksport og mindst 80 nye jobs.
";"R";"Syddanmark";"Denmark";"Væksthus Syddanmark";"Forskerparken 10 D";"5230";"Odense M";"";"";"Kasper Aagaard,25505321,kaa@vhsyd.dk";"Teknologisk Institut.
Syddansk Universitet.
Blue Ocean Robotics ApS.
Foreningen Sønderborg Vækstråd"
"Rummelig imidt";"18.09.2015";"31.12.2018";"3 Social inklusion.
Aktiv inklusion";"38.998.764";"19.499.382";"50%";"Formål: Formålet med Rummelig i Midt er at sikre et tilstrækkeligt arbejdsudbud ved at mindske antallet af personer på kanten af eller uden for arbejdsmarkedet. Projektet vil udvide arbejdsstyrken og få borgere på kanten af eller uden for arbejdsmarkedet inkluderet i et arbejdsfællesskab. Dette skal ske ved at styrke arbejdsmarkedets parters, virksomhedernes og kommunernes involvering i social inklusion ud fra et beskæftigelsesrettet perspektiv. Ved at forene tværsektorielle kompetencer, ressourcer og viden, skabes jobåbninger for målgruppen.Forventede effekter: Det forventes, at 550 deltagere gennemfører et indslusningsforløb, hvoraf 40 forventes at være beskæftiget i socialøkonomiske virksomheder umiddelbart efter deltagelsen, 50 forventes at være i beskæftigelse umiddelbart efter deltagelsen, 50 forventes at være i gang med at søge arbejde umiddelbart efter deltagelsen og 37 forventes at være i beskæftigelse 6 måneder efter deltagelsen. Aktiviteter: Projektet har tre aktivitetsspor til opnåelse af målet: 1. Aktiviteter, der skal sikre, at flere virksomheder bliver aktive med at inkludere målgruppen, samt utraditionelle strategier for rekruttering af medarbejdere til virksomhederne. 2. Inklusionsindsatser, der skal facilitere målgruppens vej ind på arbejdsmarkedet3. Indsatser, der skal understøtte etableringen af flere socialøkonomiske virksomheder, der arbejder beskæftigelsesfremmende, og som ofte formår at ansætte borgere, der ikke kan arbejde på ordinære vilkår. Øvrige oplysninger: Projektsekretariatet ApS er kontraktansvarlig partner og består af LO Nordvestjylland, LO Herning-Ikast, LO Århus, LO Silkeborg-Favrskov, LO Viborg, LO Djursland, LO Horsens-Hedensted, LO Ringkøbingfjord, LO Skiveegnen og LO Randers. Code of Care er økonomisk partner i projektet. 
";"S";"Midtjylland";"Denmark";"Projektsekretariatet ApS";"Skt.Knuds Torv 3, 2. sal";"8000";"Århus C";"";"";"Søren Larsen,2166 0429,sl@lomidt.dk";"Code of care"
"Ungeindsats Himmerland";"13.08.2015";"31.12.2018";"3 Social inklusion.
Aktiv inklusion";"12.764.367";"5.338.767";"42%";"Uddannelsesklar gennem empowerment og 360 graders håndholdt indsats. Et projekt hvor Rebild, Mariagerfjord og Vesthimmerlands kommuner gennem flere tiltag overfor den enkelte unge, initierer ejerskab og indsigt i egen formåen samt gennem forskellige aktiviteter forsøger at åbne muligheder for den enkelte til at nå tættere på uddannelse og selvforsørgelse.  
Projektvolumen er 130 deltagere over 23 måneder med uddannelsesparate unge. 
Projektet forventer, at 70 % af de unge vil starte på en ungdomsuddannelse som følge af deltagelsen i projektet. 
""Basen"" vil være omdrejningspunkt sammen med ungekoordinatoren for den fremdrift der skal ske med den unge. Der vil være forskellige tilbud til deltageren som Psykoeducation, psykologsamtaler, mentorstøtte, G2 virksomhedcentre samt en identitetsskabende og dannelsesmæssig tilgang omkring den unge, der gerne skal ende ud i anvendelse af mestringsstrategier og empowerment.
Andre aktører er ungdomsuddannelsesinstitutioner, praktikpladscentre, psykolog og kommunernes virksomheder og institutioner.Virksomheder og institutioner skaber en træningsbane og et indhold der sikrer struktur i hverdagen hos den enkelte. Det er med til at skabe jobidentitet og styrke den enkelte i job- og uddannelsesvalg.Mentorerne skal i det daglige holde fokus på aftaler og retning i den unges liv udenfor basen. 
Projektet vil anvnde både frivillige og ansatte mentorer.Uddannelsesinstitutioner skal gennem projektet bidrage med erfaringer fra deres verden, således at projektet bliver i stand til at skabe rammer i den unges liv der sikrer større grad af tilmelding til uddannelserne. De skal samtidig være med til at diskutere indhold af efterværn og fastholdelse i uddannelsessystemet, så frafald minimeres.Psykologen skal arbejde med flere områder. Blandt andet skal vedkommende arbejde med mestrinsstrategier med den enkelte. Vedkommende skal ligeledes i dialog med gruppen om psykoeducation. Coaching på egne muligheder og empowerment kan også ligge i denne rolle.Ungekoordinatoren skal være omdrejningspunktet i den unges aktivitet. Det er her tingene koordineres og italesættes. Det er her der sikres sammenhængskraft og at der støttes op om den unge 360 grader.
Praktikpladscentrene skal øge den enkelte unges indsigt og nysgerrighed overfor uddannelser bredt. De skal være med til at danne grundlag for uddannelsesvalg fremadrettet.
";"S";"Nordjylland";"Denmark";"Vesthimmerlands Kommune";"Vestre Boulevard 7";"9600";"Aars";"";"";"Lone Lollesgaard,99667701,lolo@vesthimmerland.dk";"Mariagerfjord Kommune.
Mariagerfjord Kommune.
Rebild Kommune.
Rebild Kommune"
"Smart Innovation - markedsnær protypeudvikling";"01.04.2015";"31.08.2018";"1 Styrket innovation i SMVer.
Innovation og videndeling";"49.671.400";"24.835.700";"50%";"SMART INNOVATION  markedsnær produktudvikling for SMVere
SMART INNOVATION vil over 3 år skabe 68 nye vækstorienterede og innovative SMVere i Region Hovedstaden. Det sker gennem etablering af et system for effektiv vidensudveksling til produkt  og forretningsudvikling for danske SMVere.
400 nye arbejdspladser De 68 SMVere i Region H vil sammen med forretningsudviklere og forskere fra DTU udvikle prototyper, som er afstemt med det marked, hvor de ønsker at afsætte deres produkt. Resultatet af samarbejdet vil resultere i mere innovation, øget vækst, produktivitet samt flere videns- og industriarbejdspladser i regionen. Målet er 400 nye højteknologiske industriarbejdspladser i Region H i de kommende 7 år.Teknologierne,der arbejdes med, vil skabe nye løsninger inden for Smart Vækst, Grøn Vækst og Sund Vækst bl.a. baseret på `Big Data, `Internet of Things, Smart City og digitalisering. 
Succesfuldt konceptKonceptet er med succes testet på 24 virksomheder i projekt Viden som Vækstmotor. På 1,5 år har de 24 virksomheder været igennem et faciliteret forløb, der inddrager forskere fra DTU og understøttes af professionel forretningsrådgivning. Processen i SMART INNOVATION udvikles på baggrund af disse gode erfaringer, og omdrejningspunkterne for succes i de enkelte virksomheders projekt er: Forskermatch Facilitatering af forløbet  Forretningsrådgivning
DTU bidrager til samarbejdet med forsker og forskermatch, Scion DTU faciliterer forløbene og Keystones, Eteq Venture og Nordic Innovators leverer professionel forretningsrådgivning til hver enkelt virksomhed. 
Aktiviteterne som er nødvendige for at udvikle et højteknologisk smart koncept eller prototype:Indledende aktivitet, hvor samarbejdet etableres Screening og udvælgelse af virksomheder  Matchmaking med relevante forskere på DTU Selve videnssamarbejdet Vidensudveksling og forretningsudvikling mellem virksomheder og forskere  Gearing af virksomheden til at få prototypen implementeret bredt internt Brugertests og markedsinvension gennem test på potentielle kunderEfter videnssamarbejdet Udarbejdelse af handlingsplan, der indeholder actionpunkter for go-to-market for hver SMV. Formidling af resultater og synliggørelse af regionen inden for smart vækst
National og international omtale og opmærksomhedResultaterne af SMART INNOVATION formidles gennem en intensiv PR-indsats over for national og international presse. Målet er 50 artikler i perioden 2015-2018.
";"R";"Hovedstaden";"Denmark";"Scion DTU A/S";"Diplomvej 381";"2800";"Kongens Lyngby";"";"";"Helle Nielsen-Elgaard,,he@sciondtu.dk";"Danmarks Tekniske Universitet"
"Vækstrettet kompetenceudvikling i SMV'er";"01.03.2015";"28.02.2017";"1 Iværksætteri og jobskabelse.
Arbejdsstyrkens tilpasn. til forandr";"18.387.800";"9.192.130";"50%";"Leder- og medarbejderopkvalificering i 100 SMV'er.
Formålet med programmet Vækstrettet kompetenceudvikling for SMVer er, at styrke væksten gennem et kompetenceafklarings- og udviklings forløb målrettet både ledelse og medarbejdere i mindst 100 SMVer. 
I første omgang fokuserer vi på at afklare hvilke ledelsesmæssige kompetencer og færdigheder, der mangler i den enkelte virksomhed, i forhold til at kunne skabe den ønskede vækst. I anden omgang vil der være behov for en kompetencekortlægning, og efterfølgende kompetenceudvikling, blandt de øvrige medarbejdere i virksomheden, afstemt efter den enkelte virksomheds vækstplaner og mål.
Effekten af dette program vil være:At 100 SMV virksomheder har gennemgået programmet Vækstrettet kompetenceudvikling, At programmet understøtter væksten indenfor de prioriterede segmenter: SUND VÆKST, GRØN VÆKST, KREATIV VÆKST, og SMART VÆKST. At minimum 100 ejerledere/ledere har fået udviklet deres lederkompetencer så de matcher det kompetenceniveau som kræves for at implementere og eksekvere virksomhedens vækstplan. At i alt 500 medarbejdere får forøget deres kompetenceniveau At der indenfor 2 år efter projektets afslutning skabes 200 nye arbejdspladser for en investering på kr. 55.000 pr. job. At hovedparten af de deltagende virksomheder påbegynder brug af ekstern hjælp og dermed øger professionalismen At der skabes en kobling mellem erhversfremme og uddannelsessystemet.
";"S";"Hovedstaden";"Denmark";"Væksthus Hovedstadsregionen";"Fruebjergvej 3";"2100";"København Ø";"722977.826";"6180109.341";"Peter Bøgkjær,30108105,pbo@vhhr.dk";"CBS EXECUTIVE FONDEN.
Håndværksrådet"
